OrdemPad,OrdemEns,N,cv,rho,mod,algorithm,Cost,SL,Smax,Smin
330,470,3,0.1,0.7,Medium,NM,277584.8366,75.63238263,"[558.5936963595158, 304.02845436946063, 1173.8254264569964]","[557.3439304740001, 23.0701877728836, 510.2748729800647]"
597,471,10,0.25,0.8,High,RD,121235.7335,96.23711867,"[720.8720450641617, 735.3036873748179, 216.5985469492332, 536.8708185037003, 813.4214329194195, 383.56567368741776, 480.83225887312244, 184.5871488279479, 509.99376798995365, 268.7790481583141]","[515.4007416267779, 641.2517121542585, 146.3950458367209, 400.53240723901246, 168.04159495195952, 289.65773151382115, 24.633374359797898, 135.25286825927822, 53.20207974269038, 231.85951722804526]"
645,472,10,0.5,0.9,High,RD,125280.8383,96.41568642,"[975.2917304291852, 305.3010831196259, 268.6320988782667, 437.37490607714113, 180.93046958824678, 499.4435208871133, 926.9581159690044, 760.9526940692717, 223.81786497951285, 182.11138745618638]","[646.9750032780784, 149.54426303590046, 195.39415354915448, 431.28299798841135, 34.83210601791386, 377.7475091921525, 48.48503486777481, 363.03907916952863, 207.91315767548758, 61.93277660336407]"
304,473,10,0.5,0.8,Low,ACO,107948.6942,98.28692639,"[605.0, 390.0, 785.0, 285.0, 495.0, 345.0, 460.0, 790.0, 280.0, 155.0]","[520.0, 80.0, 60.0, 120.0, 485.0, 325.0, 340.0, 80.0, 75.0, 105.0]"
919,474,10,0.25,0.8,Medium,GA,118330.1062,98.03397697,"[643.72, 901.31, 54.94, 121.84, 925.48, 990.13, 189.65, 435.18, 842.36, 516.15]","[185.4997851603397, 385.5122610779421, 12.301724015817717, 26.25845267015377, 912.7777266983537, 67.42267465313168, 24.080096497922863, 356.6037414071305, 262.7022016372637, 204.10104501098266]"
315,475,10,0.5,0.9,Low,GA,104359.0653,99.06722881,"[592.95, 821.11, 716.69, 271.86, 592.77, 411.97, 444.13, 397.51, 443.44, 763.6]","[469.24108315462274, 112.59481451860245, 128.36828454129991, 203.02382985697963, 498.2182149937882, 162.64686268493554, 152.27679763355974, 53.03352319654809, 145.95157141722459, 679.3048826271639]"
436,476,5,0.1,0.7,Low,ACO,195403.2725,86.23959331,"[440.0, 875.0, 150.0, 975.0, 980.0]","[320.0, 205.0, 80.0, 970.0, 875.0]"
228,477,10,0.1,0.7,High,ACO,171836.3138,91.49428801,"[520.0, 365.0, 855.0, 935.0, 255.0, 520.0, 560.0, 155.0, 880.0, 205.0]","[475.0, 175.0, 615.0, 530.0, 190.0, 265.0, 435.0, 45.0, 390.0, 95.0]"
412,478,3,0.5,0.8,Low,ACO,105466.7085,94.00024362,"[890.0, 775.0, 845.0]","[445.0, 380.0, 845.0]"
712,479,3,0.25,0.9,Low,ACO,60717.71017,99.29146151,"[800.0, 775.0, 875.0]","[785.0, 285.0, 785.0]"
136,480,5,0.1,0.9,Low,ACO,75835.41491,98.15127784,"[635.0, 585.0, 475.0, 355.0, 610.0]","[410.0, 315.0, 360.0, 200.0, 515.0]"
951,481,10,0.5,0.8,Low,GA,110983.5396,98.15726556,"[768.1, 224.43, 658.88, 387.95, 836.17, 651.8, 650.88, 851.76, 755.54, 27.22]","[175.96374435860122, 98.29431121813954, 227.41056187568182, 377.0095848494651, 740.0875475204867, 184.93141339936284, 87.40696061152285, 339.7813670408913, 316.75101296750915, 12.54700557565002]"
275,482,10,0.25,0.8,High,GA,151006.3554,94.86474632,"[483.24, 744.64, 472.93, 86.99, 921.88, 694.85, 182.29, 173.18, 649.36, 593.95]","[143.17580814460754, 603.483150317992, 186.98765288716305, 27.745601945111336, 857.4224540069582, 475.24368210997267, 62.327990090407425, 59.66748809978509, 422.37954423873083, 146.3528254541229]"
830,483,5,0.5,0.7,Low,NM,123301.2327,97.76933166,"[1279.419376792084, 158.1290783180961, 845.4062374938806, 648.9945874678644, 1773.1362903600752]","[817.1739866547146, 103.19719777493897, 657.9280288383886, 524.9898638799989, 1540.4151305853286]"
181,484,5,0.5,0.7,Low,RD,146055.0846,91.09017985,"[105.08274003163642, 543.3187867103733, 655.6286277117272, 673.0670173485177, 664.4817381880321]","[102.42817296995058, 498.1492285000759, 453.75923866350945, 490.55314584976577, 416.4822132478682]"
745,485,3,0.5,0.9,Low,RD,70300.37843,98.29609167,"[759.2697987725105, 738.5831095729186, 848.8001074205556]","[513.1894564255919, 616.1590116323872, 626.3368412892369]"
438,486,5,0.1,0.7,Medium,NM,108031.3516,98.18700367,"[1296.971230254366, 2057.2075860325076, 1884.6170854662503, 1162.3935562125348, 521.1608454957753]","[941.9288185884432, 991.2763181235641, 1317.9323727470337, 762.621843183935, 130.1689495733885]"
606,487,10,0.25,0.9,Medium,NM,96979.55629,99.97672744,"[582.6273521525741, 649.0953229164327, 485.21183130724154, 859.5059920429956, 528.3035331118682, 413.2034985876317, 655.8624491893779, 557.2712211452073, 562.7515242503918, 545.3266478123517]","[229.66961445408032, 288.81988805059666, 283.35971548122745, 516.9931992693867, 344.67198035799487, 226.68679219419832, 427.85052778358204, 273.62082571471865, 261.0682784043896, 229.94419959065698]"
941,488,10,0.5,0.7,Medium,RD,119580.5423,97.94820038,"[757.6053018924999, 728.3077769720229, 453.73873268522857, 207.1965989197806, 878.1049900160593, 315.80489481373206, 481.990958141602, 757.5335496286099, 536.9155409866702, 595.4681213692234]","[362.5230191151502, 526.6225419217285, 404.45366929426547, 49.32959467492332, 837.609684646548, 220.79903142289575, 381.49196621173223, 407.69031788347047, 143.74664528709397, 180.68127244945433]"
198,489,5,0.5,0.8,Medium,NM,99591.38439,94.93158911,"[380.2803476952713, 400.39422672830926, 438.89936797833224, 555.0266408175503, 673.3770475261238]","[176.52828907839623, 235.92690690319566, 136.85353746256442, 340.1679374803603, 268.7448476151589]"
803,490,5,0.25,0.7,High,GA,184106.5827,86.63502524,"[631.21, 380.26, 262.64, 645.34, 346.61]","[191.9475828076365, 203.73395773986758, 188.6693547950977, 159.13382925257844, 49.640613050304516]"
