OrdemPad;OrdemEns;N;cv;rho;p;algorithm;Cost;SL;Smax;Smin
259;648;10;0,25;0,7;0,05;GA;138850,10;96,18;[739.88, 749.0, 882.55, 262.68, 856.2, 267.92, 123.87, 189.15, 167.87, 608.48];[435.4907294090889, 107.89849466990373, 154.51190861434543, 7.665351842728208, 259.5380336907101, 43.411915413562745, 71.35270358165481, 3.0591246477080136, 117.36524710564701, 67.98953577035604]
521;649;5;0,5;0,8;0,05;RD;80064,35;98,02;[676.0067093723175, 662.5493182455637, 876.8286660549476, 367.8519971574099, 354.5186102999445];[405.21218042885755, 588.666052026098, 274.800287574767, 323.3072225205154, 238.2651428103052]
365;650;20;0,25;0,7;0,05;RD;157549,78;96,8;[202.26327180690373, 890.3131241397465, 723.2127007911874, 259.84334510505056, 164.0299571297331, 98.8959724043702, 327.3549371943003, 225.23974034224315, 221.1704459251831, 322.5113222721597, 591.2069824575508, 512.34234641341, 276.49806582468227, 867.2716430108501, 935.0303408901765, 611.789360012618, 400.6343918033678, 334.2535607678372, 726.6592529476708, 99.04879433167312];[126.36242885138485, 167.87463819007837, 482.74246182713136, 120.3998329840432, 43.9089198353968, 51.26128339507515, 272.8494539545861, 73.01915150688549, 33.609775880946465, 33.44766598455148, 81.79560470054008, 355.6427853992828, 131.092698541945, 169.52176741469611, 286.36317057164956, 109.90303969315325, 156.91347281598436, 7.5423235271960625, 22.67145047075604, 42.02281636319364]
162;651;5;0,25;0,8;0,05;NM;105701,62;94,12;[464.15650854633503, 483.41025324878177, 566.119042735388, 615.9905505359244, 338.83391866124015];[287.39466418645634, 276.68143077113587, 370.7277278423259, 531.0565507996673, 115.281554520798]
694;652;20;0,25;0,7;0,15;NM;151814,36;99,68;[475.0114015519594, 463.2731069236057, 542.6203900377686, 519.4995757227218, 494.6733573325902, 522.5806377432482, 543.397830740415, 545.3187645514575, 537.6259998272942, 561.0044433751274, 556.4634873088755, 473.94327058832573, 450.93214722767226, 488.09934502799723, 431.4782214595463, 532.9015200440372, 505.32710955393384, 474.9779732853447, 368.0693772684973, 564.5929551408958];[202.8403593971254, 244.114450085856, 278.4452789296916, 282.598187102573, 269.62600038966707, 277.6549977247215, 290.16090986385933, 297.117990509536, 262.5462115757309, 352.2674670730553, 225.21471491941833, 236.27808110149581, 204.26708906110477, 235.1150284998879, 204.26220835531527, 256.9305043795128, 304.9901924804441, 209.04253494436978, 141.56340666804041, 280.0587248901699]
112;653;5;0,1;0,7;0;ACO;166356,98;89,18;[815.0, 770.0, 840.0, 980.0, 750.0];[625.0, 615.0, 390.0, 975.0, 470.0]
85;654;20;0,5;0,8;0;RD;168457,29;99,48;[978.2793769219066, 475.74673962853973, 485.06663079541954, 863.3899915756068, 417.4797065100336, 940.7105397135335, 350.5616565940812, 426.7642307166349, 855.3845672141273, 596.0843114264856, 211.04665943742938, 367.26132205155494, 333.58747261575115, 144.40780868791293, 349.7654669113175, 179.70376484753902, 336.3995865658703, 332.1950368930616, 327.1955996334246, 521.9352284423933];[557.1921525766612, 299.0273560169687, 465.969791315201, 155.86902849790587, 261.32513509369716, 586.2636944121457, 275.23555187372205, 212.99073151340343, 110.15225998659716, 282.4057569714482, 25.953255579344106, 107.75077021529765, 228.44119181264506, 142.71280887109302, 295.35751818464206, 82.70897745276066, 79.5326455063576, 139.46074002105198, 13.45362882562385, 473.51218040005267]
664;655;20;0,1;0,8;0;ACO;165206,19;99,78;[905.0, 220.0, 295.0, 505.0, 500.0, 820.0, 95.0, 370.0, 605.0, 125.0, 340.0, 70.0, 130.0, 685.0, 380.0, 365.0, 395.0, 510.0, 730.0, 470.0];[320.0, 105.0, 190.0, 245.0, 400.0, 690.0, 15.0, 195.0, 405.0, 80.0, 185.0, 10.0, 50.0, 430.0, 150.0, 190.0, 85.0, 275.0, 260.0, 125.0]
214;656;5;0,5;0,9;0,15;NM;63566,68;99,57;[420.1085454956602, 544.9241014057033, 491.2202568264266, 623.1932975060715, 308.4409483886573];[321.422038047398, 262.0768996324435, 300.3864191964591, 314.78925184992386, 170.60335385318172]
811;657;5;0,25;0,8;0,05;GA;90342,41;97,3;[806.25, 717.86, 865.47, 641.72, 478.12];[554.6001802823447, 371.84845089934714, 693.829008161835, 413.3784252448248, 466.58594084527743]
887;658;10;0,1;0,8;0,15;GA;107782,31;98,9;[532.63, 348.01, 950.4, 623.7, 938.66, 500.0, 421.81, 426.42, 511.23, 492.86];[509.0443305323787, 220.47166523369532, 38.30764983452057, 221.21818148720834, 562.9210109187208, 360.0102241339321, 278.72205252928785, 352.3860422128087, 387.5926785935406, 115.56462812514015]
